#ys;#zs;#xs;#surfacepressure;#areapermolecule;#area;#fluo01;#fluo02;#fluo03;#fluo04;#fluoicr04;#fluoocr04;#integration_time;#sensorsRelTimestamps;#sensorsTimestamps;#Elastic.area;#Elastic.El.intRel;#Elastic.El.position;#Compton.area;#Compton.Co.intRel;#Compton.Co.position;#Au.area;#Au.La1.intRel;#Au.La1.position;#Au.La1Esc.intRel;#Au.La1Esc.position;#Au.Lb2.intRel;#Au.Lb2.position;#Au.Lb6.intRel;#Au.Lb6.position;#Au.Ll.intRel;#Au.Ll.position;#Au.Ma.intRel;#Au.Ma.position;#Au.Mb.intRel;#Au.Mb.position;#Au.Mg.intRel;#Au.Mg.position;#Cl.area;#Cl.Ka1.intRel;#Cl.Ka1.position;#Cl.Kb3.intRel;#Cl.Kb3.position;#Fe.area;#Fe.Ka1.intRel;#Fe.Ka1.position;#fano;#tfb0;#gammaB;#epsilon;#gammaA;#ct;#tfb1;#twc1;#noise;#sfa0;#fB;#sfa1;#sl;#fA;#fG;#twc0
0.0;-39.4440580825;-0.30002249999999986;29.738251861572266;0.18007221882555952;203.0324351302438;57674.0;224525.0;2924.0;1303.0;10764.600635039293;10451.260193012116;30.0;1550.949615;1581869274.132001;14.766985448206542;1.0;12000.0;109.22217551547615;1.0;11882.01680418366;2116.785735495755;1.0;9695.75337511872;0.0015670944558658362;7973.0;0.18448612759396593;11565.8;0.012170404779219712;11156.9;0.050027399348713475;8486.20115873521;0.006997129526042922;2118.4;0.010080446389956421;2203.4;0.0018323771788682497;2407.9;41.0421291215072;1.0;2622.0;0.18910767174039111;2812.0;1.5098417025805602;1.0;6405.2;0.115;0.080845;10000000000.0;0.0036;10000000000.0;-11.34629543208527;1e-10;0.1003;0.113;-0.0002114;1e-10;0.0001089;0.0019855776963526913;1e-10;1.479;0.5164
0.0;-39.4440580825;-0.30002249999999986;29.7957734375;0.1800599291482004;203.0185784501992;57645.0;225193.0;2910.0;1232.0;10779.731954890161;10463.288060164068;30.0;1581.354496;1581869304.536898;23.359889509143656;1.0;12000.0;103.02487727065578;1.0;11865.56631493392;2119.84176664995;1.0;9696.272410536543;0.0014178000815714409;7973.0;0.18213776468414078;11565.8;0.011943948178748998;11156.9;0.04936282313073226;8486.102995788275;0.005960223565554534;2118.4;0.010890859261979857;2203.4;0.0019011403873517851;2407.9;40.0196827859063;1.0;2622.0;0.17672411506884628;2812.0;1.6034599649139216;1.0;6405.2;0.115;0.080845;10000000000.0;0.0036;10000000000.0;-13.83817876407911;1e-10;0.1003;0.113;-0.0002114;1e-10;0.0001089;0.0023783568814263207;1e-10;1.479;0.5164
0.0;-39.4440580825;-0.30002249999999986;29.85864627075195;0.1800049642206772;202.95660518661322;58102.0;225394.0;2910.0;1196.0;10801.294615268123;10485.30668232683;30.0;1611.750028;1581869334.932428;26.806689485576424;1.0;12000.0;100.5408628915581;1.0;11864.151892154954;2124.7643109336987;1.0;9696.07260033818;0.0017441398476891745;7973.0;0.1841216522457486;11565.8;0.012412137576829518;11156.9;0.049272874751671525;8487.145395589017;0.006367260728784518;2118.4;0.010387991129664431;2203.4;0.002037089394874403;2407.9;39.738837024635345;1.0;2622.0;0.18036575949069583;2812.0;1.8738199585575823;1.0;6405.2;0.115;0.080845;10000000000.0;0.0036;10000000000.0;-11.375975485291287;1e-10;0.1003;0.113;-0.0002114;1e-10;0.0001089;0.0019810688619390495;1e-10;1.479;0.5164
0.0;-39.4440580825;-0.30002249999999986;29.899692596435546;0.17999103440127426;202.94089923722942;58019.0;226453.0;2976.0;1179.0;10829.964308731005;10516.155604427217;30.0;1642.147732;1581869365.33013;26.213021433269965;1.0;12000.0;99.62498519915337;1.0;11859.999010520125;2130.616974725551;1.0;9696.42596358857;0.0014793151064208532;7973.0;0.1830582454798697;11565.8;0.011767448993792451;11156.9;0.04870481099203766;8488.184646505872;0.006675560283810167;2118.4;0.010533169417978716;2203.4;0.0022943225343270424;2407.9;40.81725222519444;1.0;2622.0;0.15727375015246092;2812.0;1.5169447829132028;1.0;6405.2;0.115;0.080845;10000000000.0;0.0036;10000000000.0;-13.288060936436178;1e-10;0.1003;0.113;-0.0002114;1e-10;0.0001089;0.0023226977600023743;1e-10;1.479;0.5164
0.0;-39.4440580825;-0.30002249999999986;29.9643330078125;0.18003606627514138;202.99167292719306;57795.0;227033.0;2956.0;1231.0;10854.126835210269;10531.900317268717;30.0;1672.549561;1581869395.731962;31.68493206389855;1.0;12000.0;95.9696532124647;1.0;11853.3830605085;2136.3965561560362;1.0;9696.435175374878;0.0015064683550975455;7973.0;0.18027979085482537;11565.8;0.011221899072514085;11156.9;0.04892682196550163;8487.972077859211;0.006823472289687715;2118.4;0.010307731629328132;2203.4;0.0019540492174417445;2407.9;40.28913410724498;1.0;2622.0;0.1760760883000429;2812.0;1.9230990639226824;1.0;6405.2;0.115;0.080845;10000000000.0;0.0036;10000000000.0;-17.047916521346323;1e-10;0.1003;0.113;-0.0002114;1e-10;0.0001089;0.002823433201645679;1e-10;1.479;0.5164
0.0;-39.4440580825;-0.30002249999999986;30.006449951171877;0.18003998895048295;202.99609576560766;58056.0;227224.0;2775.0;1209.0;10872.195383344499;10551.239180975594;30.0;1702.94332;1581869426.12572;16.77990743041845;1.0;12000.0;108.4431559175885;1.0;11876.90313471774;2137.324549217522;1.0;9696.464879992205;0.00154296356932897;7973.0;0.18281671617171008;11565.8;0.011903167720220953;11156.9;0.04925894603773131;8488.394273644108;0.006564729278775971;2118.4;0.010440039565781512;2203.4;0.002003795742572645;2407.9;41.2450751657679;1.0;2622.0;0.17590947695048742;2812.0;1.6162867135633334;1.0;6405.2;0.115;0.080845;10000000000.0;0.0036;10000000000.0;-16.82036251434915;1e-10;0.1003;0.113;-0.0002114;1e-10;0.0001089;0.0027772284497514137;1e-10;1.479;0.5164
0.0;-39.4440580825;-0.30002249999999986;30.050661529541017;0.18004066838693947;202.99686183401724;57933.0;226216.0;2915.0;1224.0;10817.899843334668;10502.955887919943;30.0;1733.342351;1581869456.524752;24.643159996866704;1.0;12000.0;102.33216011447634;1.0;11865.15287090346;2130.215759286127;1.0;9696.743240383146;0.00154296356932897;7973.0;0.18281671617171008;11565.8;0.011903167720220953;11156.9;0.04925894603773131;8488.848425748776;0.006564729278775971;2118.4;0.010440039565781512;2203.4;0.002003795742572645;2407.9;39.873083762986866;1.0;2622.0;0.17590947695048742;2812.0;2.0646126767276174;1.0;6405.2;0.115;0.080845;10000000000.0;0.0036;10000000000.0;-14.103754819545676;1e-10;0.1003;0.113;-0.0002114;1e-10;0.0001089;0.0023409303929071115;1e-10;1.479;0.5164
0.0;-39.4440580825;-0.30002249999999986;30.051692657470703;0.18002709859202404;202.98156181425924;58282.0;226681.0;2910.0;1214.0;10862.702547349516;10539.756888198985;30.0;1763.73329;1581869486.91569;28.74639950504309;1.0;12000.0;99.99973162536877;1.0;11858.485633483197;2134.8458362003807;1.0;9696.725885568658;0.00154296356932897;7973.0;0.18281671617171008;11565.8;0.011903167720220953;11156.9;0.04925894603773131;8488.553885969559;0.006564729278775971;2118.4;0.010440039565781512;2203.4;0.002003795742572645;2407.9;39.327814531702465;1.0;2622.0;0.17590947695048742;2812.0;1.8008663555191617;1.0;6405.2;0.115;0.080845;10000000000.0;0.0036;10000000000.0;-13.225329477045047;1e-10;0.1003;0.113;-0.0002114;1e-10;0.0001089;0.0023256516327952257;1e-10;1.479;0.5164
0.0;-39.4440580825;-0.30002249999999986;30.02080953979492;0.18002994531003683;202.98477150476026;57550.0;226015.0;3015.0;1226.0;10814.372825306962;10490.289216843366;30.0;1794.125399;1581869517.307799;26.415921679100347;1.0;12000.0;99.3784275738631;1.0;11869.98802500909;2127.6404961917556;1.0;9697.1686114536;0.00154296356932897;7973.0;0.18281671617171008;11565.8;0.011903167720220953;11156.9;0.04925894603773131;8490.09389257272;0.006564729278775971;2118.4;0.010440039565781512;2203.4;0.002003795742572645;2407.9;39.895163086676966;1.0;2622.0;0.17590947695048742;2812.0;1.844680133404219;1.0;6405.2;0.115;0.080845;10000000000.0;0.0036;10000000000.0;-11.450490499503386;1e-10;0.1003;0.113;-0.0002114;1e-10;0.0001089;0.00208911614262801;1e-10;1.479;0.5164
0.0;-39.4440580825;-0.30002249999999986;30.11989392089844;0.1800531408206313;203.01092457285046;57984.0;225561.0;2883.0;1273.0;10808.473130605096;10490.322662676748;30.0;1824.54397;1581869547.726372;24.30320492806758;1.0;12000.0;104.31631253845154;1.0;11866.757285713855;2125.0778561655306;1.0;9697.09311907776;0.00154296356932897;7973.0;0.18281671617171008;11565.8;0.011903167720220953;11156.9;0.04925894603773131;8489.575464832307;0.006564729278775971;2118.4;0.010440039565781512;2203.4;0.002003795742572645;2407.9;41.48464288202279;1.0;2622.0;0.17590947695048742;2812.0;1.5828235468903724;1.0;6405.2;0.115;0.080845;10000000000.0;0.0036;10000000000.0;-13.632408366733687;1e-10;0.1003;0.113;-0.0002114;1e-10;0.0001089;0.0022824735966117896;1e-10;1.479;0.5164
